Sl. No,Name,Genre,Language,Price,Broadcaster,Image
342,A TV,NON-NEWS,English,0,OPPORTUNITY MEDIA PRIVATE LIMITED,"""Channellogo/logo/ATV.jpg"" "
343,A1TV,NEWS,Punjabi English Hindi,0,STANDARD CORPORATION INDIA LIMITED,"""Channellogo/logo/A1TVEARLIERSTANDARDWORLD.jpg"" "
344,AAHO MUSIC,NON-NEWS,English Hindi Punjabi Other/Multi,0,MGK PRINTING WORKS PVT LTD,"""Channellogo/logo/AAHOMUSICearlierknownasVaaMoviesHindiNAAPTOLHDbeforethatALLTIME.jpg"" "
345,AAJTAK DESH,NEWS,Bengali Telugu Urdu English Gujarati Hindi Kannada Malayalam Marathi Oriya Punjabi Tamil,0,TV TODAY NETWORK LIMITED,"""Channellogo/logo/AAJTAKDESH.jpg"" "
346,AALAMI SAHARA,NEWS,Hindi,0,Sahara India Commercial Corporation Ltd.,"""Channellogo/logo/AALAMISAHARA.jpg"" "
347,AAMAR CINEMA,NON-NEWS,Marathi Gujarati Hindi,0,TRANSMEDIA SOFTWARE LIMITED,"""Channellogo/logo/AAMARCINEMAEARLIERTRANSMEDIAGUJARAT.jpg"" "
348,AASEERVATHAM,NEWS,Kannada,0,DIKSAT TRANSWORLD LIMITED,"""Channellogo/logo/AASEERVATHAM.jpg"" "
349,AASTHA,NON-NEWS,Hindi,0,VEDIC BROADCASTINGS LIMITED,"""Channellogo/logo/AASTHA.jpg"" "
350,AASTHA BHAJAN,NON-NEWS,Hindi English Other/Multi,0,VEDIC BROADCASTINGS LIMITED,"""Channellogo/logo/AASTHABHAJAN.jpg"" "
351,Aastha Kannada,NON-NEWS,Hindi English Other/Multi,0,VEDIC BROADCASTINGS LIMITED,"""Channellogo/logo/AasthaKannada.jpg"" "
352,Aastha Tamil,NON-NEWS,Hindi English Other/Multi,0,VEDIC BROADCASTINGS LIMITED,"""Channellogo/logo/AasthaTamil.jpg"" "
353,Aastha Telugu,NON-NEWS,Hindi English Other/Multi,0,VEDIC BROADCASTINGS LIMITED,"""Channellogo/logo/AasthaTelugu.jpg"" "
354,ABN ANDHRA JYOTHI,NEWS,Telugu,0,AAMODA BROADCASTING COMPANY PRIVATE LIMITED,"""Channellogo/logo/ABNANDHRAJYOTHI.jpg"" "
355,ABN Network,NEWS,English Hindi Other/Multi,0,MITCON INFRASPROJECT PRIVATE LIMITED,"""Channellogo/logo/ABNNetworkEarlierLOKSHAHI.jpg"" "
356,ABP Ananda,News,Bangla,0,ABP News Network Private Limited,"""Channellogo/logo/ABPAnanda.jpg"" "
357,ABP ASMITA,NEWS,Gujarati,0,ABP NEWS NETWORK PVT. LTD. (Earlier MEDIA CONTENT AND COMMUNICATIONS SERVICES INDIA PRIVATE LIMITED),"""Channellogo/logo/ABPASMITAEarlieABPSAMACHARGUJARATIABPSanjha.jpg"" "
358,ABP Majha,News,Hindi English Marathi,0,ABP News Network Private Limited,"""Channellogo/logo/ABPMajha.jpg"" "
359,ABP NEWS,NEWS,Hindi English Marathi,0,ABP NEWS NETWORK PVT. LTD. (Earlier MEDIA CONTENT AND COMMUNICATIONS SERVICES INDIA PRIVATE LIMITED),"""Channellogo/logo/ABPNEWSearlierSTARNEWS.jpg"" "
360,Adhyatm,NON-NEWS,Hindi English Other/Multi,0,SNEH BROADCASTING NETWORKS PRIVATE LIMITED,"""Channellogo/logo/AdhyatmearlierADHYATMBHAKTI.jpg"" "
361,AHSAS,NON-NEWS,Hindi English Other/Multi,0,Bhole Baba Real Estate Developers Pvt. Ltd.,"""Channellogo/logo/AHSASEarlierDaatiAhsas.jpg"" "
362,AKASH B,NEWS,Bengali,0,SKY B (BANGLA) PRIVATE LIMITED,"""Channellogo/logo/AKASHB.jpg"" "
363,AKHON SAMAY,NEWS,Bengali Other/Multi,0,DEVKRIPA VYAPAAR PVT LTD,"""Channellogo/logo/AKHONSAMAY.jpg"" "
364,AL JAZEERA ENGLISH,NEWS,English,0,AJI INTERNATIONAL PRIVATE LIMITED,"""Channellogo/logo/ALJAZEERAENGLISH.jpg"" "
365,AMRITA,NEWS,Malayalam Hindi English,0,AMRITA ENTERPRISES PRIVATE LIMITED,"""Channellogo/logo/AMRITA.jpg"" "
366,Anaadi TV,NEWS,Other/Multi,0,Asnani Builders &amp; Developers Ltd,"""Channellogo/logo/AnaadiTV.jpg"" "
367,ANANDAM,NON-NEWS,Hindi Other/Multi,0,MEDIA GURU BROADCAST PVT LTD,"""Channellogo/logo/ANANDAMEARLIERMYTVMDPTV.jpg"" "
368,ANGEL TV,NON-NEWS,Tamil English Other/Multi,0,ANGEL BROADCASTING NETWORK PVT. LTD. (Earlier TRINITY TELEVISION PRIVATE LIMITED),"""Channellogo/logo/ANGELTV.jpg"" "
369,ANJAN TV,NON-NEWS,Hindi English Other/Multi,0,AAP MEDIA PVT.LTD.,"""Channellogo/logo/ANJANTV.jpg"" "
370,AP 24x7,NEWS,Other/Multi,0,SIGNET COMMUNICATIONS PRIVATE LIMITED,"""Channellogo/logo/AP24x7earlierAPTimestheNewsHQKHOJINDIA.jpg"" "
371,APN,NEWS,Hindi English Other/Multi,0,SOBHAGAYA MEDIA PRIVATE LIMITED,"""Channellogo/logo/APNAxisPressNetworkEarlierknownasSOBHAGYAMITHILASOBHAGYATV.jpg"" "
372,ARADANA,NON-NEWS,Telugu English Hindi,0,ARADANA BROADCASTING INTERNATIONAL PRIVATE LIMITED,"""Channellogo/logo/ARADANA.jpg"" "
373,ARIHANT,NON-NEWS,Hindi Gujarati English,0,AASTHA BROAD CASTING NETWORK LIMITED,"""Channellogo/logo/ARIHANT.jpg"" "
374,ARIRANG TV,NEWS,English,0,PLANET E-SHOP HOLDINGS INDIA LIMITED,"""Channellogo/logo/ARIRANGTV.jpg"" "
375,ARRA,NON-NEWS,Other/Multi,0,EASTERN MEDIA LIMITED,"""Channellogo/logo/ARRAEarlierknownasMANJARI.jpg"" "
376,Aryan TV National,NEWS,Hindi,0,SADHNA MEDIA NETWORK PVT. LTD.,"""Channellogo/logo/AryanTVNationalearlierSADHNAORISSA.jpg"" "
377,ASHIRWAD,NON-NEWS,Hindi English Other/Multi,0,ASHIRWAD TELENETWORK PRIVATE LIMITED,"""Channellogo/logo/ASHIRWAD.jpg"" "
378,ASIANET NEWS,NEWS,Malayalam,0,ASIANET NEWS NETWORK PRIVATE LIMITED,"""Channellogo/logo/ASIANETNEWS.jpg"" "
379,ASSAM TALKS,NEWS,Hindi English Other/Multi,0,ROCKLAND MEDIA AND COMMUNICATION PRIVATE LIMITED,"""Channellogo/logo/ASSAMTALKSEarlierPRIMENEWSARYANTV.jpg"" "
380,ATE TV,NEWS,Malayalam English,0,Airtravel Enterprises India Limited,"""Channellogo/logo/ATETV.jpg"" "
381,Athmeeyayathra,NON-NEWS,Malayalam English,0,AY BROADCAST FOUNDATION,"""Channellogo/logo/AthmeeyayathraearlierAYTV.jpg"" "
382,AUSTRALIA NETWORK,NEWS,English,0,CABSAT CHANNEL PRIVATE LIMITED,"""Channellogo/logo/AUSTRALIANETWORK.jpg"" "
383,Awakening,NON-NEWS,Hindi English Other/Multi,0,Graphisads Private Limited,"""Channellogo/logo/Awakening.jpg"" "
384,Ayush TV,NON-NEWS,Hindi Telugu Kannada Tamil Malayalam English,0,KAMADHENU TELEFILMS PRIVATE LIMITED,"""Channellogo/logo/AyushTVearlierAYURVEDATVSREETV.jpg"" "
385,B News,NEWS,Hindi English Other/Multi,0,PRABHATAM ADVERTISING PVT LTD,"""Channellogo/logo/BNewsearlierPRABHATAMNEWSMAHARASHTRA.jpg"" "
386,B4U MOVIES,NON-NEWS,English Hindi,0,B4U TELEVISION NETWORK I PVT. LTD.,"""Channellogo/logo/B4UMOVIES.jpg"" "
387,B4U MUSIC,NON-NEWS,English Hindi,0,B4U TELEVISION NETWORK I PVT. LTD.,"""Channellogo/logo/B4UMUSIC.jpg"" "
388,BALLE BALLE Non Stop Music,NON-NEWS,Hindi English Other/Multi,0,Satcom Media Broadcast Pvt. Ltd,"""Channellogo/logo/BALLEBALLENonStopMusicearlierAndyHaryana.jpg"" "
389,BANGLA TALKIES,NON-NEWS,Bengali Hindi English Other/Multi,0,MEDIA WORLDWIDE LIMITED,"""Channellogo/logo/BANGLATALKIES.jpg"" "
390,Bangla Time,NEWS,Hindi English Other/Multi,0,Soft Tele Network Pvt Ltd.,"""Channellogo/logo/BanglaTimeearlierknownasKhabarTej.jpg"" "
391,BANSAL NEWS,NEWS,Hindi English,0,S.D.BANSAL IRON AND STEEL PVT. LTD.,"""Channellogo/logo/BANSALNEWS.jpg"" "
392,BFLIX MOVIES,NON-NEWS,Hindi English Other/Multi,0,VARUN MEDIA PRIVATE LIMITED,"""Channellogo/logo/BFLIXMOVIESEARLIERROYALTVGOODLIFE.jpg"" "
393,BHAKTHI,NON-NEWS,Telugu,0,RACHANA TELEVISION PRIVATE LIMITED,"""Channellogo/logo/BHAKTHI.jpg"" "
394,Bhaktisagar2,NON-NEWS,Hindi English Other/Multi,0,Sangeet Television Network Pvt. Ltd.,"""Channellogo/logo/Bhaktisagar2InitiallygrantedasHasteyRahothenchangedtoiConcerts.jpg"" "
395,BHARAT SAMACHAR,NEWS,Hindi English Other/Multi,0,TIME TODAY MEDIA NETWORK PRIVATE LIMITED,"""Channellogo/logo/BHARATSAMACHAR.jpg"" "
396,BHASKAR NEWS,NEWS,Hindi English Marathi Other/Multi,0,A.R. RAIL VIKAS SERVICES PVT. LTD.,"""Channellogo/logo/BHASKARNEWSAP9.jpg"" "
397,BHOJPURI CINEMA,NON-NEWS,Other/Multi,0,ENTER 10 TELEVISION PRIVATE LIMITED,"""Channellogo/logo/BHOJPURICINEMA.jpg"" "
