Sl. No,Name,Genre,Language,Price,Broadcaster,Image
566,Malai Murasu,NEWS,Other/Multi,0,HORIZON SATELLITE SERVICE PVT LTD,"""Channellogo/logo/MalaiMurasuEarlierJaiTamilTVEarlierknownasHORIZONNEWS.jpg"" "
567,Malai Murasu Seithikal,NEWS,Tamil,0,Chennai Murasu Private Limited,"""Channellogo/logo/MalaiMurasuSeithikal.jpg"" "
568,MANGALAM,NEWS,Hindi English Other/Multi,0,GN INFOMEDIA PVT LTD,"""Channellogo/logo/MANGALAMEarlierREPORTER24X7GNNewsGNNNEWS.jpg"" "
569,MANORAMA NEWS CENTRAL,NEWS,Malayalam,0,MM TV LIMITED,"""Channellogo/logo/MANORAMANEWSCENTRAL.jpg"" "
570,MANORAMA NEWS NORTH,NEWS,Malayalam,0,MM TV LIMITED,"""Channellogo/logo/MANORAMANEWSNORTH.jpg"" "
571,MANORANJAN MOVIES,NON-NEWS,Hindi,0,CREATIVE CHANNEL ADVERTISING AND MARKETING PRIVATE,"""Channellogo/logo/MANORANJANMOVIESEarlierManoranjanMusic.jpg"" "
572,MANORANJAN TV,NON-NEWS,Hindi English Other/Multi,0,CREATIVE CHANNEL ADVERTISING AND MARKETING PRIVATE,"""Channellogo/logo/MANORANJANTV.jpg"" "
573,MANTAVYA NEWS,NEWS,Telugu,0,MONICA BROADCASTING PRIVATE LIMITED,"""Channellogo/logo/MANTAVYANEWSEarlierXTRA.jpg"" "
574,MASTIII,NON-NEWS,Hindi,0,TV VISION PVT. LTD.,"""Channellogo/logo/MASTIII.jpg"" "
575,MATHRUBHUMI NEWS,NEWS,Malayalam,0,THE MATHRUBHUMI PRINTING AND PUBLISHING COMPANY LIMITED,"""Channellogo/logo/MATHRUBHUMINEWS.jpg"" "
576,MATHRUBHUMI NEWS NORTH,NEWS,Malayalam,0,THE MATHRUBHUMI PRINTING AND PUBLISHING COMPANY LIMITED,"""Channellogo/logo/MATHRUBHUMINEWSNORTH.jpg"" "
577,MATHRUBHUMI NEWS SOUTH,NEWS,Malayalam,0,THE MATHRUBHUMI PRINTING AND PUBLISHING COMPANY LIMITED,"""Channellogo/logo/MATHRUBHUMINEWSSOUTH.jpg"" "
578,MAUJA MOSTII,NON-NEWS,Hindi,0,KRISHNA SHOWBIZ SERVICES PVT. LTD.,"""Channellogo/logo/MAUJAMOSTII.jpg"" "
579,MAZHAVIL MANORAMA,NON-NEWS,Malayalam,0,MM TV LIMITED,"""Channellogo/logo/MAZHAVILMANORAMAMANORAMAVISION.jpg"" "
580,MAZHAVIL MANORAMA HD,NEWS,Malayalam,0,MM TV LIMITED,"""Channellogo/logo/MAZHAVILMANORAMAHDEarlierMANORAMANEWSSOUTH.jpg"" "
581,MAZHAVIL MANORAMA INTERNATIONAL,NEWS,Malayalam,0,MM TV LIMITED,"""Channellogo/logo/MAZHAVILMANORAMAINTERNATIONALearlierMANORAMANEWSINTERNATIONAL.jpg"" "
582,MBC TV,NEWS,Hindi English Bengali,0,JOSH MEDIA VISION PVT LTD,"""Channellogo/logo/MBCTVVONJANTAKIAWAAZ.jpg"" "
583,MEDIA ONE LIFE,NON-NEWS,Malayalam English,0,MADHYAMAM BROADCASTING LTD,"""Channellogo/logo/MEDIAONELIFE.jpg"" "
584,MEDIA ONE TV,NEWS,Malayalam English,0,MADHYAMAM BROADCASTING LTD,"""Channellogo/logo/MEDIAONETV.jpg"" "
585,Meenakshi TV,NON-NEWS,Tamil,0,Meenakshi Networks Pvt. Ltd.,"""Channellogo/logo/MeenakshiTV.jpg"" "
586,MGK NAAPTOL TAMIL,NON-NEWS,Hindi English Punjabi Other/Multi,0,MGK PRINTING WORKS PVT LTD,"""Channellogo/logo/MGKNAAPTOLTAMILEarlierMGK.jpg"" "
587,MH 1,NON-NEWS,Hindi,0,M.H. ONE TV NETWORK LIMITED,"""Channellogo/logo/MH1.jpg"" "
588,MH ONE NEWS,NEWS,Hindi,0,M.H. ONE TV NETWORK LIMITED,"""Channellogo/logo/MHONENEWS.jpg"" "
589,MH ONE SHRADDHA,NON-NEWS,Hindi,0,M.H. ONE TV NETWORK LIMITED,"""Channellogo/logo/MHONESHRADDHA.jpg"" "
590,MI MARATHI,NEWS,Marathi,0,Mi Marathi Media Ltd. (Earlier:SRI ADHIKARI BROTHERS MEDIA LIMITED&nbsp;),"""Channellogo/logo/MIMARATHI.jpg"" "
591,MK Six,NON-NEWS,Other/Multi,0,MADURAI KRISHNA NETWORK PVT. LTD.,"""Channellogo/logo/MKSix.jpg"" "
592,MK TELEVISION,NON-NEWS,Tamil,0,MADURAI KRISHNA NETWORK PVT. LTD.,"""Channellogo/logo/MKTELEVISION.jpg"" "
593,MK Tunes,NON-NEWS,Other/Multi,0,MADURAI KRISHNA NETWORK PVT. LTD.,"""Channellogo/logo/MKTunes.jpg"" "
594,MOJO TV,NEWS,Other/Multi,0,PIGEON INFORMATION TECHNOLOGY PRIVATE LIMITED,"""Channellogo/logo/MOJOTVearlierKNews247earlierNEWSVIEWS.jpg"" "
595,MOON TV,NEWS,Tamil English,0,MOON VISION PRIVATE LIMITED,"""Channellogo/logo/MOONTV.jpg"" "
596,MOVIES HOUSE,NON-NEWS,Hindi English Other/Multi,0,ASHIRWAD TELENETWORK PRIVATE LIMITED,"""Channellogo/logo/MOVIESHOUSEEarleirASHIRWADCLASSIC.jpg"" "
597,MTV INDIES,NON-NEWS,Hindi English Tamil Telugu,0,VIACOM 18 MEDIA PRIVATE LIMITED,"""Channellogo/logo/MTVINDIESEARLIERCOLORSINTERNATIONALV18MOVIES.jpg"" "
598,MUBU TV,NON-NEWS,English Hindi Punjabi Other/Multi,0,Mass Telecasting pvt. Ltd.,"""Channellogo/logo/MUBUTVEARLIERMT.jpg"" "
599,MULTIPLEX,NON-NEWS,Hindi Other/Multi,0,VISION CORPORATION LIMITED,"""Channellogo/logo/MULTIPLEXEARLIERVISIONTVSHIKSHA.jpg"" "
600,MUNSIF TV,NEWS,Urdu Hindi English Other/Multi,0,DERA TELEVISIONS PRIVATE LIMITED,"""Channellogo/logo/MUNSIFTV.jpg"" "
601,MUSIC F,NON-NEWS,Hindi English Other/Multi,0,ROYALRAJ MEDIA PRIVATE LIMITED,"""Channellogo/logo/MUSICFearlierM3MmusicmoviemastiVARDAAN.jpg"" "
602,MUSIC INDIA,NON-NEWS,Hindi,0,MEDIA WORLDWIDE LIMITED,"""Channellogo/logo/MUSICINDIA.jpg"" "
603,Music Zone,NON-NEWS,,0,COXSWAIN TECHNOLOGIES LIMITED,"""Channellogo/logo/MusicZoneearlier7SMUSICNILCHAKARA.jpg"" "
604,N TV,NEWS,Telugu,0,RACHANA TELEVISION PRIVATE LIMITED,"""Channellogo/logo/NTV.jpg"" "
605,NAAPTOL BANGLA,NON-NEWS,English Hindi Punjabi Other/Multi,0,MGK PRINTING WORKS PVT LTD,"""Channellogo/logo/NAAPTOLBANGLAEarlierMGKSTAR.jpg"" "
606,NAAPTOL BLUE,NON-NEWS,English Hindi Punjabi Other/Multi,0,MGK PRINTING WORKS PVT LTD,"""Channellogo/logo/NAAPTOLBLUEEarlierBlue.jpg"" "
607,Naaptol Kannada,NON-NEWS,Punjabi English Other/Multi,0,Sunny ENTERTAINMENT HOUSE PRIVATE LIMITED,"""Channellogo/logo/NaaptolKannadaearlierGnextDiscovery.jpg"" "
608,Naaptol Malayalam,NON-NEWS,Other/Multi,0,DHARM MEDIA VENTURES PRIVATE LIMITED,"""Channellogo/logo/NaaptolMalayalamearlierDHARMSANGEET.jpg"" "
609,Naaptol telugu,NON-NEWS,English Hindi Other/Multi,0,GLOBAL TELECASTING PVT. LTD.,"""Channellogo/logo/NaaptolteluguearlierCine21GTENTERTAINMENT.jpg"" "
610,Nambikkai Television,NON-NEWS,Tamil,0,GOOD NEWS CHANNEL PRIVATE LIMITED,"""Channellogo/logo/NambikkaiTelevision.jpg"" "
611,National Voice Uttarpradesh/Uttrakhand,NEWS,Other/Multi,0,SCAN MEDIA PVT.LTD.,"""Channellogo/logo/NationalVoiceUttarpradeshUttrakhandearlierSHALINITVGURUDIKSHANEWSVEDATV.jpg"" "
612,NAXATRA NEWS JHARKHAND BIHAR,NON-NEWS,Bengali,0,N K MEDIA VENTURES PVT LTD,"""Channellogo/logo/NAXATRANEWSJHARKHANDBIHARNAXTRABARNALII.jpg"" "
613,NAXATRA TV,NEWS,Oriya,0,N K MEDIA VENTURES PVT LTD,"""Channellogo/logo/NAXATRATV.jpg"" "
614,NEO PRIME,NON-NEWS,Hindi English,0,NEO SPORTS BROADCAST PRIVATE LIMITED,"""Channellogo/logo/NEOPRIMEearlierNEOCRICKET.jpg"" "
615,NEO SPORTS,NON-NEWS,Hindi English Other/Multi,0,NEO SPORTS BROADCAST PRIVATE LIMITED,"""Channellogo/logo/NEOSPORTS.jpg"" "
616,NEPAL 1,NEWS,Hindi English Bhojpuri Nepali,0,TV LIVE INDIA PRIVATE LIMITED,"""Channellogo/logo/NEPAL1EARLIERKNOWNASTVLIVE.jpg"" "
617,NETWORK 10,NEWS,Hindi,0,BHARAT HYDEL PROJECTS PRIVATE LIMITED,"""Channellogo/logo/NETWORK10.jpg"" "
618,News 1 India,NEWS,Hindi English Other/Multi,0,ASHOKA PRODUCTIONS AND COMMUNICATION PVT LTD,"""Channellogo/logo/News1IndiaearlierHighNewsearlierNews1IndiaCEENEWS.jpg"" "
619,NEWS 11,NEWS,Hindi Bhojpuri,0,BRAHMAPUTRA TELE-PRODUCTIONS PRIVATE LIMITED,"""Channellogo/logo/NEWS11EarlierDY365UP.jpg"" "
620,News 30,NEWS,Hindi English Other/Multi,0,MEDIA GURU NEWS PVT. LTD.,"""Channellogo/logo/News30EarlierknownasNEWSGURU.jpg"" "
621,NEWS 7,NEWS,Oriya,0,SUMMA REAL MEDIA PRIVATE LIMITED,"""Channellogo/logo/NEWS7PRAMEYANEWS.jpg"" "
622,NEWS 7 TAMIL,NEWS,English Other/Multi,0,ALLIANCE BROADCASTING PRIVATE LIMITED,"""Channellogo/logo/NEWS7TAMILEarlierREALESTATE.jpg"" "
623,NEWS 9,NEWS,Gujarati Marathi Hindi Kannada Malayalam Telugu Tamil English Other/Multi,0,ASSOCIATED BROADCASTING COMPANY PRIVATE LIMITED,"""Channellogo/logo/NEWS9.jpg"" "
624,News India 24x7,NEWS,Hindi English Other/Multi,0,OMEGA TV MEDIA PVT LTD,"""Channellogo/logo/NewsIndia24x7earlierUKNEWS.jpg"" "
625,News J,NEWS,Kannada,0,POLIMER MEDIA PRIVATE LIMITED,"""Channellogo/logo/NewsJearlierPolimerKannada.jpg"" "
626,NEWS LIVE,NEWS,English Hindi Other/Multi,0,PRIDE EAST ENTERTAINMENTS PRIVATE LIMITED,"""Channellogo/logo/NEWSLIVE.jpg"" "
627,NEWS LIVE ODISHA,NEWS,Hindi English Other/Multi,0,PRIDE EAST ENTERTAINMENTS PRIVATE LIMITED,"""Channellogo/logo/NEWSLIVEODISHANOURTHEASTLIVE.jpg"" "
628,NEWS NATION,NEWS,Other/Multi,0,News Nation Network Pvt. Ltd (Earlier known as ALPHA DEALCOM PRIVATE LIMITED),"""Channellogo/logo/NEWSNATIONEarlierNATIONTODAYTULIPNEWS.jpg"" "
629,News Plus,NEWS,Tamil English Other/Multi,0,NEWSPLUS TELEVISION PRIVATE LIMITED,"""Channellogo/logo/NewsPlus.jpg"" "
630,News State Madhya Pradesh/Chhatttisgarh,NEWS,Hindi,0,News Nation Network Pvt. Ltd (Earlier known as ALPHA DEALCOM PRIVATE LIMITED),"""Channellogo/logo/NewsStateMadhyaPradeshChhatttisgarh.jpg"" "
631,NEWS STATE UTTARAKHAND/UTTAR PRADESH,NEWS,Other/Multi,0,News Nation Network Pvt. Ltd (Earlier known as ALPHA DEALCOM PRIVATE LIMITED),"""Channellogo/logo/NEWSSTATEUTTARAKHANDUTTARPRADESHEarlierUPASANA.jpg"" "
632,NEWS TIME ASSAM,NEWS,Assamese,0,BRAND VALUE COMMUNICATIONS PRIVATE LIMITED,"""Channellogo/logo/NEWSTIMEASSAM.jpg"" "
633,NEWS TIME BANGLA,NEWS,Bengali,0,BRAND VALUE COMMUNICATIONS PRIVATE LIMITED,"""Channellogo/logo/NEWSTIMEBANGLA.jpg"" "
634,NEWS WORLD INDIA,NEWS,Hindi English Other/Multi,0,F7 BROADCAST PVT. LTD. (Earlier R &amp; AAR Communication (P) Ltd.),"""Channellogo/logo/NEWSWORLDINDIAearlierNAMOSTUTEINDIARRNews.jpg"" "
635,News18 Bharat,NEWS,English Hindi Other/Multi,0,TV 18 BROADCAST LTD.,"""Channellogo/logo/News18BharatearlierNEWS18PUNJAB.jpg"" "
636,NEWS18 GOA,NEWS,English Hindi Other/Multi,0,TV 18 BROADCAST LTD.,"""Channellogo/logo/NEWS18GOA.jpg"" "
637,News18 India,NEWS,Hindi English Other/Multi,0,TV 18 BROADCAST LTD.,"""Channellogo/logo/News18India.jpg"" "
638,NEWS18 J&K,NEWS,English Hindi Other/Multi,0,TV 18 BROADCAST LTD.,"""Channellogo/logo/NEWS18JK.jpg"" "
639,NEWS24 THINK FIRST,NEWS,Hindi,0,News 24 Broadcast India Ltd.(Earlier known as B.A.G. GLAMOUR LIMITED),"""Channellogo/logo/NEWS24THINKFIRST.jpg"" "
640,NewsX Kannada,NEWS,Hindi English Other/Multi,0,INFORMATION TV PRIVATE LIMITED,"""Channellogo/logo/NewsXKannada.jpg"" "
641,NHK WORLD TV,NEWS,English Japanese,0,NOIDA SOFTWARE TECHNOLOGY PARK LTD.,"""Channellogo/logo/NHKWORLDTV.jpg"" "
642,Nireekshana TV,Non-News,Other/Multi,0,Shopping Zone India TV Pvt. Ltd,"""Channellogo/logo/NireekshanaTV.jpg"" "
643,NIRMANA,NEWS,Hindi English Gujarati Other/Multi,0,VIKAAS TV ALLIANCE PVT LTD,"""Channellogo/logo/NIRMANA.jpg"" "
644,NO.1 NEWS,NEWS,Telugu,0,VAARTHA BROADCASTING LTD,"""Channellogo/logo/NO1NEWSEARLIERVAARTHA.jpg"" "
645,Non-Stop Samachar India,NEWS,Hindi English Other/Multi,0,SEA TV NETWORK LIMITED,"""Channellogo/logo/NonStopSamacharIndiaInitiallySeaNewsthenchangedtoSeaNewsUttarPradeshUttrakhand.jpg"" "
646,NT1,NON-NEWS,Hindi English Other/Multi,0,Cinema 24x7 Pvt. Ltd,"""Channellogo/logo/NT1.jpg"" "
647,NT2,NON-NEWS,Hindi English Other/Multi,0,Cinema 24x7 Pvt. Ltd,"""Channellogo/logo/NT2.jpg"" "
648,NT3,NON-NEWS,Hindi English Other/Multi,0,Cinema 24x7 Pvt. Ltd,"""Channellogo/logo/NT3.jpg"" "
649,NT4,NON-NEWS,Hindi English Other/Multi,0,Cinema 24x7 Pvt. Ltd,"""Channellogo/logo/NT4.jpg"" "
650,NT5,NON-NEWS,Hindi English Other/Multi,0,Cinema 24x7 Pvt. Ltd,"""Channellogo/logo/NT5.jpg"" "
651,NT6,NON-NEWS,Hindi English Other/Multi,0,Cinema 24x7 Pvt. Ltd,"""Channellogo/logo/NT6.jpg"" "
652,NT7,NON-NEWS,Hindi English Other/Multi,0,Cinema 24x7 Pvt. Ltd,"""Channellogo/logo/NT7.jpg"" "
653,O TV,NEWS,English Other/Multi,0,ODISHA TELEVISION LIMITED,"""Channellogo/logo/OTV.jpg"" "
654,ODISHA TIME,NEWS,Oriya,0,KAMYAB TELEVISION PRIVATE LIMITED,"""Channellogo/logo/ODISHATIMEearlierKAMYABTV.jpg"" "
655,Ok India,NEWS,Hindi,0,Landmark Infonet Pvt. Ltd.,"""Channellogo/logo/OkIndiaearlierknownasLTV.jpg"" "
656,OK MUSIC,NON-NEWS,Hindi Other/Multi,0,V S BROADCASTING PVT. LT.,"""Channellogo/logo/OKMUSICEARLIERVSENTERTAINMENT.jpg"" "
657,ONKAR ONLY TRUTH,NEWS,Bengali Hindi English Other/Multi,0,ONKAR ENTERTAINMENT PRIVATE LIMITED,"""Channellogo/logo/ONKARONLYTRUTH.jpg"" "
658,ORANGE TV,NON-NEWS,Bengali,0,T. SARKAR PVT. LTD.,"""Channellogo/logo/ORANGETV.jpg"" "
659,Oscar Movies Bhojpuri,NON-NEWS,Hindi Bhojpuri English Marathi,0,OSCAR MEDIA PRIVATE LIMITED,"""Channellogo/logo/OscarMoviesBhojpuriearlierMARATHIMUSIC.jpg"" "
660,P7 GUJARATI,NON-NEWS,Gujarati English Other/Multi,0,JANVANI BROADCASTING CORPORATION LIMITED (Earlier PEARLS BROADCASTING CORPORATION PRIVATE LIMITED),"""Channellogo/logo/P7GUJARATI.jpg"" "
661,Paras Gold,NON-NEWS,Hindi,0,TOURISM AND TRAVEL MEDIA ENTERTAINMENT PRIVATE LIMITED,"""Channellogo/logo/ParasGoldearlierTRAVELTRENDZTV.jpg"" "
662,Paras-CITY Pulse,NON-NEWS,Hindi,0,City Pulse Media India Pvt. Ltd. ( transferred from ANOLI HOLDINGS PRIVATE LIMITED),"""Channellogo/logo/ParasCITYPulse.jpg"" "
663,Patrika TV Rajasthan,NEWS,Hindi English Other/Multi,0,Rajasthan Patrika Pvt. Ltd.,"""Channellogo/logo/PatrikaTVRajasthan.jpg"" "
664,PBN,NEWS,Hindi English Other/Multi,0,JAINSON MEDIA PRIVATE LIMITED,"""Channellogo/logo/PBNearlierSAMACHAR24X7.jpg"" "
665,Peace of Mind,NON-NEWS,Hindi English,0,God Media Pvt. Ltd.,"""Channellogo/logo/PeaceofMind.jpg"" "
666,Pearls Haryana Express,NEWS,Hindi English Other/Multi,0,YASH TV MEDIA PRIVATE LIMITED,"""Channellogo/logo/PearlsHaryanaExpressearlierPearlsNCRHaryanaRajasthanPEARLSPUNJABI.jpg"" "
667,PENGAL,NON-NEWS,Other/Multi,0,EASWARI MEDIA PRIVATE LIMITED,"""Channellogo/logo/PENGAL.jpg"" "
668,PEOPLE,NEWS,Malayalam,0,MALAYALAM COMMUNICATIONS LIMITED,"""Channellogo/logo/PEOPLEearlierKALAIGNARTV.jpg"" "
669,PEPPERS,NON-NEWS,English Tamil Malayalam Kannada Telugu Other/Multi,0,N&amp;D COMMUNICATIONS PVT. LTD.,"""Channellogo/logo/PEPPERS.jpg"" "
670,PITAARA,NON-NEWS,Other/Multi,0,Paul E Commerce Pvt. Ltd.,"""Channellogo/logo/PITAARA.jpg"" "
671,PLANET NEWS,NEWS,Other/Multi,0,ZEUS NETWORKING PRIVATE LIMITED,"""Channellogo/logo/PLANETNEWSearlierZEUSNEWS.jpg"" "
672,POLIMER,NEWS,Tamil,0,POLIMER MEDIA PRIVATE LIMITED,"""Channellogo/logo/POLIMER.jpg"" "
673,POLIMER NEWS,NEWS,Tamil,0,POLIMER MEDIA PRIVATE LIMITED,"""Channellogo/logo/POLIMERNEWS.jpg"" "
674,Power of God TV,NON-NEWS,Bengali,0,Page 3 Entertainment India Pvt. Ltd.,"""Channellogo/logo/PowerofGodTVEarlierknownasPage3.jpg"" "
675,POWER VISION,NON-NEWS,Malayalam English Hindi,0,VALUE VISION BROADCASTING PRIVATE LIMITED,"""Channellogo/logo/POWERVISION.jpg"" "
676,PRAG,NEWS,English Hindi Other/Multi,0,AM Television Pvt. Ltd,"""Channellogo/logo/PRAGearlierNEWSBANGLA.jpg"" "
677,PRAJAA KANNADA TV,NEWS,Hindi English Other/Multi,0,PRABHATAM ADVERTISING PVT LTD,"""Channellogo/logo/PRAJAAKANNADATVEarlierPRABHATAMNEWSRAJASTHAN.jpg"" "
678,PRARTHANA BHAWAN TV,NON-NEWS,Other/Multi,0,PALM BROADCASTING PRIVATE LIMITED,"""Channellogo/logo/PRARTHANABHAWANTVGATHATV.jpg"" "
679,PRATINIDHI,NEWS,Hindi English Other/Multi,0,OMEGA BROADCAST PVT LTD,"""Channellogo/logo/PRATINIDHIearlier4REALNEWSDEVBHUMI.jpg"" "
680,PROTIDIN TIME,NEWS,Hindi English Other/Multi,0,YASH TV ENTERTAINEMENT PVT.LTD.,"""Channellogo/logo/PROTIDINTIMEearlierKHABAR365DINREPORTERHARYANA.jpg"" "
681,PTC CHAK DE,NON-NEWS,Hindi Punjabi,0,G-NEXT MEDIA PRIVATE LIMITED,"""Channellogo/logo/PTCCHAKDE.jpg"" "
682,PTC NEWS,NEWS,Hindi Punjabi,0,G-NEXT MEDIA PRIVATE LIMITED,"""Channellogo/logo/PTCNEWS.jpg"" "
683,PTC PUNJABI,NON-NEWS,Hindi Punjabi,0,G-NEXT MEDIA PRIVATE LIMITED,"""Channellogo/logo/PTCPUNJABI.jpg"" "
684,Public Movies,NON-NEWS,Kannada,0,WRITEMEN MEDIA PRIVATE LIMITED,"""Channellogo/logo/PublicMoviesearlierPublicComedy.jpg"" "
685,Public Music,NON-NEWS,Kannada,0,WRITEMEN MEDIA PRIVATE LIMITED,"""Channellogo/logo/PublicMusic.jpg"" "
686,Public TV,NEWS,Kannada,0,WRITEMEN MEDIA PRIVATE LIMITED,"""Channellogo/logo/PublicTVTOPTVKARNATAKANEWS24X7.jpg"" "
687,PUNJAB TODAY,NEWS,Other/Multi,0,STV ENTERPRISES LIMITED,"""Channellogo/logo/PUNJABTODAY.jpg"" "
688,PUTHIYA THAILAIMURAI,NEWS,Tamil English Other/Multi,0,NEW GENERATION MEDIA CORPORATION PVT LTD (EARLIER KNOWN AS M/S GENERATION NOW MEDIA PVT LTD),"""Channellogo/logo/PUTHIYATHAILAIMURAI.jpg"" "
689,Puthu Yugam,NON-NEWS,Other/Multi,0,NEW ERA MEDIA CORPORATION CHENNAI PRIVATE LIMITED (earlier TRP MEDIA PRIVATE LIMITED),"""Channellogo/logo/PuthuYugamearlierKALAISARAL.jpg"" "
690,R PLUS,NEWS,Bengali,0,RAHUL SPRINGS PVT LTD,"""Channellogo/logo/RPLUS.jpg"" "
691,R PLUS GOLD,NEWS,Bengali,0,RAHUL SPRINGS PVT LTD,"""Channellogo/logo/RPLUSGOLDearlierRPLUSNEWS.jpg"" "
692,R TV,NEWS,Telugu English Other/Multi,0,RAYUDU VISION MEDIA LIMITED,"""Channellogo/logo/RTV.jpg"" "
693,R VISION,NON-NEWS,Other/Multi,0,R-VISION INDIA PVT. LTD.,"""Channellogo/logo/RVISION.jpg"" "
694,RAFTAAR MEDIA,NEWS,Hindi English Other/Multi,0,RAFTAAR MEDIA PRIVATE LIMITED,"""Channellogo/logo/RAFTAARMEDIA.jpg"" "
695,RAJ MUSIX MALAYALAM,NON-NEWS,Malayalam,0,RAJ TELEVISION NETWORK LIMITED,"""Channellogo/logo/RAJMUSIXMALAYALAM.jpg"" "
696,RAJ MUSIX TELUGU,NON-NEWS,Telugu,0,RAJ TELEVISION NETWORK LIMITED,"""Channellogo/logo/RAJMUSIXTELUGU.jpg"" "
697,RAJ NEWS KANNADA,NEWS,Tamil,0,RAJ TELEVISION NETWORK LIMITED,"""Channellogo/logo/RAJNEWSKANNADA.jpg"" "
698,RAJ NEWS MALAYALAM,NEWS,Malayalam,0,RAJ TELEVISION NETWORK LIMITED,"""Channellogo/logo/RAJNEWSMALAYALAM.jpg"" "
699,RAJ NEWS TELUGU,NEWS,Tamil,0,RAJ TELEVISION NETWORK LIMITED,"""Channellogo/logo/RAJNEWSTELUGU.jpg"" "
700,RAJ PARIWAR,NEWS,Telugu,0,RAJ TELEVISION NETWORK LIMITED,"""Channellogo/logo/RAJPARIWAR.jpg"" "
701,RAKSHANA TV,NON-NEWS,Telugu Hindi,0,COXSWAIN TECHNOLOGIES LIMITED,"""Channellogo/logo/RAKSHANATV.jpg"" "
702,RAMDHENU,NON-NEWS,Assamese Hindi English Bengali,0,PRIDE EAST ENTERTAINMENTS PRIVATE LIMITED,"""Channellogo/logo/RAMDHENU.jpg"" "
703,RANG,NON-NEWS,Hindi English Assamese,0,PRIDE EAST ENTERTAINMENTS PRIVATE LIMITED,"""Channellogo/logo/RANG.jpg"" "
704,RENGONI,NON-NEWS,Assamese,0,AM Television Pvt. Ltd,"""Channellogo/logo/RENGONI.jpg"" "
705,REPORTER,NEWS,Malayalam,0,INDO ASIAN NEWS CHANNEL PVT LTD,"""Channellogo/logo/REPORTER.jpg"" "
706,Republic TV,NEWS,English Hindi,0,ARG Outlier Media Pvt. Ltd,"""Channellogo/logo/RepublicTV.jpg"" "
707,RK News,NEWS,Punjabi English Other/Multi,0,PRABHATAM ADVERTISING PVT LTD,"""Channellogo/logo/RKNewsearlierPRABHATAMNEWSPUNJAB.jpg"" "
708,RM-RUJUMARGAM FROM DARKNESS TO LIGHT,NON-NEWS,Other/Multi,0,IMPACT TELEVISION PRIVATE LIMITED,"""Channellogo/logo/RMRUJUMARGAMFROMDARKNESSTOLIGHTearlierMUODIAKATHATV.jpg"" "
709,ROSE TV,NON-NEWS,Hindi English Other/Multi,0,SUB NEWS AND BROADCASTING CORPORATION LTD,"""Channellogo/logo/ROSETV.jpg"" "
710,RT,NON-NEWS,Hindi English Other/Multi,0,PRABHATAM ADVERTISING PVT LTD,"""Channellogo/logo/RTearlierknownasPRABHATAMNEWS.jpg"" "
711,RUPASI BANGLA,NON-NEWS,Bengali Assamese,0,BRAND VALUE COMMUNICATIONS PRIVATE LIMITED,"""Channellogo/logo/RUPASIBANGLA.jpg"" "
712,RUSSIA TODAY,NEWS,English,0,LAMHAS SATELLITE SERVICES LIMITED,"""Channellogo/logo/RUSSIATODAY.jpg"" "
713,RVS CHANNEL,NON-NEWS,Telugu,0,RVS NETWORK INDIA LIMITED,"""Channellogo/logo/RVSCHANNEL.jpg"" "
714,S. NEWS,NEWS,Other/Multi,0,SANCTUARY TELEVISION PVT LTD,"""Channellogo/logo/SNEWS.jpg"" "
715,SAAM TV,NEWS,English Hindi Other/Multi,0,NEO TELEVISION LIMITED,"""Channellogo/logo/SAAMTV.jpg"" "
716,SAB MARATHI,NON-NEWS,Hindi English Other/Multi,0,Sony Pictures Networks India Private Limited,"""Channellogo/logo/SABMARATHI.jpg"" "
717,SAB PUNJABI,NON-NEWS,Marathi Hindi English Other/Multi,0,Sony Pictures Networks India Private Limited,"""Channellogo/logo/SABPUNJABI.jpg"" "
718,SAB TAMIL,NON-NEWS,Punjabi Hindi English Other/Multi,0,Sony Pictures Networks India Private Limited,"""Channellogo/logo/SABTAMIL.jpg"" "
719,SADA CHANNEL,NON-NEWS,English Hindi Other/Multi,0,HBN ENTERTAINMENT AND BROADCASTING PVT LTD,"""Channellogo/logo/SADACHANNEL.jpg"" "
720,SADHANA ARYAN NEWS,NEWS,Hindi English Other/Multi,0,NAMAN BROADCASTING AND TELECOMMUNICATIONS PVT. LTD.,"""Channellogo/logo/SADHANAARYANNEWSEarlier24X7BTVNEWSPrabhatamLIFELINE.jpg"" "
721,Sadhna Bangla,NON-NEWS,Hindi English Other/Multi,0,NAMAN BROADCASTING AND TELECOMMUNICATIONS PVT. LTD.,"""Channellogo/logo/SadhnaBanglaearlierISHWAR.jpg"" "
722,Sadhna National,NEWS,Hindi,0,SHARP EYE ADVERTISING PRIVATE LIMITED,"""Channellogo/logo/SadhnaNationalRKNEWSKATYAYANI.jpg"" "
723,Sadhna News Madhya Pradesh/ Chhatisgarh/ Rajasthan,NEWS,Hindi,0,SHARP EYE ADVERTISING PRIVATE LIMITED,"""Channellogo/logo/SadhnaNewsMadhyaPradeshChhatisgarhRajasthanearlierSADHNANEWSBIHAR.jpg"" "
724,SADHNA PLUS NEWS,NEWS,Hindi,0,SHARP EYE ADVERTISING PRIVATE LIMITED,"""Channellogo/logo/SADHNAPLUSNEWSEarlierSADHANAMADHYAPRADESH.jpg"" "
725,SADHNA PRIME NEWS,NEWS,Hindi English Other/Multi,0,SADHNA MEDIA NETWORK PVT. LTD.,"""Channellogo/logo/SADHNAPRIMENEWSEARLIERPOSITIVEHEALTH.jpg"" "
